number,response_type,prompt,options,duration_seconds
41,choice,Manakah pernyataan yang maknanya paling mirip dengan 'Kejujuran membangun kepercayaan'?,Kejujuran merusak hubungan|Orang jujur cenderung dipercaya|Kepercayaan tidak penting|Kebohongan selalu berhasil|Kejujuran hanya diperlukan di kantor,60
42,manual,Tarik satu garis lurus yang menghubungkan dua nomor pada batas bentuk agar terbagi menjadi dua bagian yang sama luas. Tuliskan dua nomor yang dihubungkan.,,60
43,choice,"Dalam kelompok angka berikut, mana yang paling kecil?","0,8|0,08|0,18|0,9|0,11",60
44,choice,Pernyataan: 'Semua dokumen resmi diberi nomor. Dokumen X tidak diberi nomor.' Kesimpulan yang benar:,X pasti resmi|X bukan dokumen resmi|X pasti palsu|Semua dokumen tanpa nomor palsu|Tidak dapat disimpulkan apa pun,60
45,choice,Harga awal sebuah barang Rp120.000. Harga naik 10%. Berapa harga baru?,Rp126.000|Rp130.000|Rp132.000|Rp134.000|Rp140.000,60
46,choice,"Dalam rangkaian kata, mana yang berbeda?",mawar|melati|anggrek|kaktus|apel,60
47,choice,"Jika semua supervisor hadir, dan Rudi adalah supervisor, maka:",Rudi hadir|Rudi tidak hadir|Rudi mungkin hadir|Tidak ada hubungan|Rudi bukan supervisor,60
48,choice,"Tiga orang membagi keuntungan sesuai investasi. X Rp4.000.000, Y Rp3.000.000, Z Rp1.000.000. Jika keuntungan Rp1.600.000, bagian X adalah:",Rp400.000|Rp600.000|Rp800.000|Rp1.000.000|Rp1.200.000,60
49,choice,Empat dari lima bentuk berikut dapat digabungkan untuk membentuk satu segitiga. Pilih bentuk yang tidak diperlukan.,1|2|3|4|5,60
50,choice,"Sebuah laporan 24.000 kata akan dicetak. Ukuran besar memuat 2.000 kata per halaman dan ukuran kecil 1.200 kata per halaman. Jika seluruh laporan dicetak dengan ukuran kecil, berapa halaman yang dibutuhkan?",12|16|18|20|24,60
